id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Letters,Maple Thread,folk,nostalgic,0.46,96,0.68,0.52,0.81
12,Street Carnival,Solar Drums,afrobeat,euphoric,0.88,122,0.85,0.90,0.14
13,Winter Sonata Hall,Aria North,classical,melancholic,0.22,66,0.34,0.21,0.97
14,Velvet Moonlight,Luna Mar,latin,romantic,0.64,108,0.79,0.76,0.29
15,Garage Revolt,Iron Avenue,punk,rebellious,0.94,176,0.43,0.57,0.04
16,Open Road Promise,Dustline County,country,hopeful,0.58,102,0.74,0.67,0.55
17,Neon Tide Drop,Prism Harbor,edm,energetic,0.96,128,0.72,0.92,0.03
18,Cherry Blossom Signal,Seoul Sparks,k-pop,playful,0.83,116,0.86,0.89,0.11
